date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:33	1138/1138	---MCZ	200	added ('OK')	text/html	etag:W/%22cf9-AIlLheDfA6RfJEO7KG/QaDB62hE%22	https://quizzory.com/robots.txt		(from )
10:03:33	31545/31545	---MCZ	200	added ('OK')	text/html	etag:W/%227b39-UbQ76aAdjsAFhbpenjewhsoF+eo%22	https://quizzory.com/	C:/My%20Web%20Sites/test/quizzory.com/index.html	(from )
10:03:34	151262/151262	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Jan%202022%2004:33:38%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/test/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://quizzory.com/)
10:03:34	208/208	---M--	200	added ('OK')	application/javascript	etag:W/%22d0-1797a3374ad%22	https://quizzory.com/js/ganalytics.js	C:/My%20Web%20Sites/test/quizzory.com/js/ganalytics.js	(from https://quizzory.com/)
10:03:34	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-1797a337431%22	https://quizzory.com/images/favicon.ico	C:/My%20Web%20Sites/test/quizzory.com/images/favicon.ico	(from https://quizzory.com/)
10:03:34	21763/21763	---MCZ	200	added ('OK')	text/css	etag:W/%225503-1797a337415%22	https://quizzory.com/css/home.css	C:/My%20Web%20Sites/test/quizzory.com/css/home.css	(from https://quizzory.com/)
10:03:35	312122/312122	---MCZ	200	added ('OK')	text/css	etag:W/%224c33a-1797a337415%22	https://quizzory.com/css/material.css	C:/My%20Web%20Sites/test/quizzory.com/css/material.css	(from https://quizzory.com/)
10:03:35	300265/300265	---MCZ	200	added ('OK')	application/javascript	etag:W/%22494e9-1797a3374b1%22	https://quizzory.com/js/material.js	C:/My%20Web%20Sites/test/quizzory.com/js/material.js	(from https://quizzory.com/)
10:03:35	11957/11957	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222eb5-17b6952c86e%22	https://quizzory.com/images/getstarted.svg	C:/My%20Web%20Sites/test/quizzory.com/images/getstarted.svg	(from https://quizzory.com/)
10:03:36	13957/13957	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Oct%202019%2005:15:00%20GMT	https://play.google.com/intl/en_us/badges/static/images/badges/en_badge_web_generic.png	C:/My%20Web%20Sites/test/play.google.com/intl/en_us/badges/static/images/badges/en_badge_web_generic.png	(from https://quizzory.com/)
10:03:37	173382/173382	---M--	200	added ('OK')	image/jpeg	etag:%223739dc60b6868c408cc964232b1a8ad2%22	https://surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600145785808.jpg	C:/My%20Web%20Sites/test/surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600145785808.jpg	(from https://quizzory.com/)
10:03:38	215949/215949	---M--	200	added ('OK')	image/jpeg	etag:%22a6cc513d7290ddee3d494410a1aa101f%22	https://surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600348971048.jpg	C:/My%20Web%20Sites/test/surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600348971048.jpg	(from https://quizzory.com/)
10:03:38	64623/64623	---M--	200	added ('OK')	image/jpeg	etag:W/%22fc6f-1797a3374a1%22	https://quizzory.com/images/thumbnail_512_342/shake_hands.jpeg	C:/My%20Web%20Sites/test/quizzory.com/images/thumbnail_512_342/shake_hands.jpg	(from https://quizzory.com/)
10:03:38	73424/73424	---M--	200	added ('OK')	image/jpeg	etag:W/%2211ed0-1797a337495%22	https://quizzory.com/images/thumbnail_512_342/green_farm.jpeg	C:/My%20Web%20Sites/test/quizzory.com/images/thumbnail_512_342/green_farm.jpg	(from https://quizzory.com/)
10:03:38	70421/70421	---M--	200	added ('OK')	image/jpeg	etag:W/%2211315-1797a337491%22	https://quizzory.com/images/thumbnail_512_342/aeroplane.jpeg	C:/My%20Web%20Sites/test/quizzory.com/images/thumbnail_512_342/aeroplane.jpg	(from https://quizzory.com/)
10:03:39	69546/69546	---M--	200	added ('OK')	image/jpeg	etag:W/%2210faa-1797a33749d%22	https://quizzory.com/images/thumbnail_512_342/online_reg.jpeg	C:/My%20Web%20Sites/test/quizzory.com/images/thumbnail_512_342/online_reg.jpg	(from https://quizzory.com/)
10:03:40	408566/408566	---M--	200	added ('OK')	image/jpeg	etag:%223b958be16fca501afe99628b1a230236%22	https://surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600143608558.jpg	C:/My%20Web%20Sites/test/surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600143608558.jpg	(from https://quizzory.com/)
10:03:40	76590/76590	---M--	200	added ('OK')	image/jpeg	etag:W/%2212b2e-1797a33749d%22	https://quizzory.com/images/thumbnail_512_342/online_marketing.jpeg	C:/My%20Web%20Sites/test/quizzory.com/images/thumbnail_512_342/online_marketing.jpg	(from https://quizzory.com/)
10:03:41	34659/34659	---M--	200	added ('OK')	image/jpeg	etag:%2268d9fc0afc7a416912e2f7a22cffdb9b%22	https://surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600149265136.jpg	C:/My%20Web%20Sites/test/surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600149265136.jpg	(from https://quizzory.com/)
10:03:41	509699/509699	---M--	200	added ('OK')	image/jpeg	etag:%22776c8c402c3eb417f0b16f704d4a48c0%22	https://surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600352872464.jpg	C:/My%20Web%20Sites/test/surveyheartmedia.s3.ap-south-1.amazonaws.com/themes/sh_1600352872464.jpg	(from https://quizzory.com/)
